symbol,current_price,atm_strike,strikes_analyzed,pcr_oi,pcr_volume,oi_ratio,timestamp
NIFTY,26068.15,26050,11,,,,2025-11-22 16:22:24
BANKNIFTY,58867.7,58900,11,,,,2025-11-22 16:22:26
RELIANCE,1543.7,1540,11,,,,2025-11-22 16:22:30
TCS,3150.0,3140,11,,,,2025-11-22 16:22:32
INFY,1544.1,1540,11,,,,2025-11-22 16:22:34
HDFCBANK,998.0,1000,11,,,,2025-11-22 16:22:35
ICICIBANK,1369.0,1370,11,,,,2025-11-22 16:22:39
KOTAKBANK,2086.5,2080,11,,,,2025-11-22 16:22:41
BHARTIARTL,2165.0,2160,11,,,,2025-11-22 16:22:44
ITC,408.0,407,11,,,,2025-11-22 16:22:45
SBIN,972.45,970,11,,,,2025-11-22 16:22:50
